iter	Passed	Remaining
0	281	281629
1	293	146567
2	304	101118
3	316	78775
4	328	65348
5	339	56194
6	350	49741
7	362	44971
8	374	41227
9	385	38123
10	397	35731
11	409	33702
12	432	32801
13	448	31568
14	460	30234
15	472	29046
16	483	27936
17	495	27021
18	507	26219
19	519	25474
20	531	24758
21	543	24177
22	555	23617
23	570	23213
24	581	22686
25	592	22181
26	603	21740
27	613	21304
28	624	20904
29	635	20538
30	645	20185
31	656	19859
32	667	19554
33	678	19268
34	689	18997
35	700	18757
36	720	18763
37	734	18585
38	744	18357
39	755	18134
40	766	17917
41	776	17720
42	787	17526
43	798	17339
44	812	17251
45	829	17204
46	840	17037
47	851	16879
48	864	16775
49	875	16629
50	885	16481
51	896	16338
52	906	16203
53	917	16072
54	927	15944
55	935	15770
56	946	15656
57	960	15606
58	971	15495
59	982	15388
60	992	15281
61	1003	15180
62	1013	15076
63	1024	14983
64	1035	14891
65	1046	14809
66	1057	14721
67	1068	14639
68	1078	14558
69	1090	14482
70	1102	14428
71	1114	14358
72	1124	14282
73	1141	14286
74	1155	14254
75	1166	14180
76	1177	14108
77	1187	14037
78	1198	13969
79	1208	13902
80	1233	13994
81	1245	13940
82	1255	13874
83	1266	13809
84	1277	13757
85	1288	13696
86	1299	13635
87	1309	13574
88	1320	13517
89	1331	13459
90	1341	13403
91	1353	13356
92	1363	13301
93	1374	13248
94	1385	13196
95	1395	13144
96	1406	13092
97	1417	13048
98	1428	12999
99	1438	12950
100	1449	12901
101	1460	12857
102	1471	12811
103	1481	12766
104	1492	12721
105	1503	12678
106	1514	12639
107	1525	12596
108	1535	12554
109	1550	12544
110	1577	12637
111	1599	12682
112	1635	12835
113	1657	12880
114	1690	13009
115	1712	13052
116	1729	13051
117	1748	13072
118	1761	13039
119	1774	13013
120	1790	13004
121	1805	12992
122	1823	12998
123	1837	12977
124	1853	12976
125	1867	12955
126	1881	12933
127	1899	12942
128	1910	12900
129	1921	12858
130	1932	12819
131	1943	12779
132	1965	12810
133	1980	12798
134	1990	12756
135	2015	12804
136	2026	12763
137	2037	12724
138	2048	12685
139	2058	12646
140	2069	12606
141	2080	12568
142	2091	12532
143	2102	12498
144	2113	12460
145	2125	12432
146	2141	12429
147	2153	12398
148	2164	12364
149	2175	12327
150	2186	12292
151	2198	12266
152	2212	12249
153	2224	12221
154	2235	12189
155	2247	12157
156	2258	12125
157	2269	12092
158	2280	12060
159	2290	12027
160	2301	11994
161	2312	11963
162	2323	11931
163	2334	11898
164	2345	11867
165	2355	11836
166	2366	11805
167	2377	11775
168	2388	11744
169	2401	11727
170	2425	11756
171	2435	11726
172	2446	11696
173	2457	11666
174	2468	11635
175	2480	11613
176	2491	11584
177	2502	11555
178	2513	11526
179	2525	11504
180	2536	11475
181	2552	11473
182	2563	11446
183	2574	11418
184	2585	11390
185	2596	11363
186	2607	11335
187	2618	11307
188	2628	11280
189	2639	11254
190	2650	11228
191	2661	11201
192	2672	11174
193	2683	11150
194	2694	11123
195	2705	11097
196	2716	11073
197	2727	11047
198	2738	11021
199	2748	10995
200	2759	10969
201	2770	10943
202	2780	10917
203	2791	10892
204	2804	10876
205	2827	10897
206	2838	10872
207	2849	10849
208	2860	10825
209	2871	10800
210	2881	10775
211	2892	10750
212	2903	10726
213	2913	10701
214	2924	10677
215	2935	10653
216	2948	10640
217	2960	10620
218	2971	10595
219	2981	10572
220	2992	10548
221	3003	10525
222	3013	10501
223	3025	10480
224	3036	10457
225	3046	10434
226	3057	10412
227	3068	10389
228	3080	10370
229	3091	10348
230	3101	10326
231	3112	10304
232	3123	10281
233	3134	10259
234	3144	10237
235	3155	10215
236	3166	10193
237	3176	10171
238	3187	10149
239	3203	10144
240	3218	10137
241	3229	10116
242	3240	10094
243	3251	10073
244	3261	10051
245	3272	10029
246	3282	10008
247	3293	9988
248	3304	9967
249	3315	9946
